Operation,CUDA Time (ms),CPU Time (ms),CUDA Memory (MB),Calls
model_inference,1495.3138700000002,0.0,0.0,1
model_inference,446.05766299998993,1518.5242700000001,0.0,1
bitsandbytes::gemv_4bit,184.8195620000008,165.441605000003,75.866112,9604
"void kgemm_4bit_inference_naive<__half, 128, 16>(int, int, int, __half*, unsigned char*, float*, float const*, __half*, int, int, int, int)",184.8195620000008,0.0,0.0,9604
aten::matmul,62.15184900000024,8.012164999998255,65.501184,296
aten::linear,62.066412000000156,6.877927999999986,65.467392,246
aten::mm,62.066412000000156,4.718276999999871,65.467392,246
"void gemv2T_kernel_val<int, int, __half, __half, __half, float, 128, 16, 4, 4, false, false, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<__half const>, cublasGemvTensorStridedBatched<__half const>, cublasGemvTensorStridedBatched<__half>, float> >(cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<__half const>, cublasGemvTensorStridedBatched<__half const>, cublasGemvTensorStridedBatched<__half>, float>, float, float)",52.876074000000344,0.0,0.0,50
aten::add,38.77385700000464,131.5092980000024,8680.983552,18154
"void kDequantizeBlockwise<float, 512, 64, 8, 0>(float*, unsigned char*, float*, float*, int, int)",31.205970999997387,0.0,0.0,9800
bitsandbytes::dequantize_blockwise,31.205970999997387,179.97902599999347,8808.0384,9800
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1})",27.17797399999723,0.0,0.0,9800
aten::mul,26.371107000000325,93.14821099998586,163.490816,12900
MatMul4Bit,20.559919999999707,20.542285000000177,52.641792,196
aten::copy_,17.721343000004673,39.2481610000032,0.0,6410
aten::_to_copy,17.168417000003313,65.74663200000325,112.973312,6009
aten::to,17.168417000003313,75.92116700000304,112.973312,38906
aten::cat,16.875979000000747,50.51671600000391,354.614784,5750
"void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1})",13.754398000002801,0.0,0.0,5657
aten::_flash_attention_forward,10.408669999997583,49.7434409999989,15.081472,1400
aten::_scaled_dot_product_flash_attention,10.408669999997583,62.58218700000324,15.081472,1400
aten::scaled_dot_product_attention,10.408669999997583,71.63282499999977,14.278656,1400
aten::mean,10.267543999999871,27.887873000006323,1.4592,2850
"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, 4> >(at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, 4>)",10.267543999999871,0.0,0.0,2850
"void pytorch_flash::flash_fwd_kernel<pytorch_flash::Flash_fwd_kernel_traits<128, 128, 32, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<128, 128, 32, 4, cutlass::half_t> >, false, false, false, false, false, true, false>(pytorch_flash::Flash_fwd_params)",10.266719999997557,0.0,0.0,1372
"void kDequantizeBlockwise<__half, 512, 64, 8, 2>(float*, unsigned char*, float*, __half*, int, int)",10.21671200000005,0.0,0.0,196
bitsandbytes::dequantize_4bit,10.21671200000005,3.6848529999997846,5637.144576,196
"void at::native::(anonymous namespace)::CatArrayBatchedCopy<at::native::(anonymous namespace)::OpaqueType<2u>, unsigned int, 4, 64, 64>(at::native::(anonymous namespace)::OpaqueType<2u>*, at::native::(anonymous namespace)::CatArrInputTensorMetadata<at::native::(anonymous namespace)::OpaqueType<2u>, unsigned int, 64, 64>, at::native::(anonymous namespace)::TensorSizeStride<unsigned int, 4u>, int, unsigned int)",9.739141999998406,0.0,0.0,2856
"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, at::detail::Array<char*, 2>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1> >(int, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, at::detail::Array<char*, 2>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1>)",8.582867999996814,0.0,0.0,2950
ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_64x3_tn,8.51290300000007,0.0,0.0,140
"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#10}::operator()() const::{lambda(c10::Half)#1}, at::detail::Array<char*, 2>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1> >(int, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#10}::operator()() const::{lambda(c10::Half)#1}, at::detail::Array<char*, 2>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1>)",8.49316700000634,0.0,0.0,2950
"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctor_add<c10::Half>, at::detail::Array<char*, 3> >(int, at::native::CUDAFunctor_add<c10::Half>, at::detail::Array<char*, 3>)",8.117274000006262,0.0,0.0,5544
