Label,VRAM (GB),Size (GB),Tokens/sec,TTFT (ms),TTFT std (ms),Perplexity,GSM8K (%),TriviaQA (%)
BF16 (baseline),8.25,6.43,76.27,14.0,0.03,10.01,67.0,54.0
INT8 (bnb),5.44,3.61,31.11,52.19,0.37,10.02,57.0,54.0
NF4 4-bit (bnb),6.89,2.2,58.34,26.01,0.08,10.534,67.0,43.0
AWQ 4-bit,8.52,6.69,78.05,13.99,0.02,20.449,62.0,40.0
BF16 + SDPA,8.25,6.43,77.22,14.1,0.01,10.01,67.0,54.0
BF16 + FA2,8.25,6.43,60.73,17.5,0.09,10.008,67.0,52.0
BF16 + torch.compile,31.24,6.43,77.48,14.08,0.03,10.01,67.0,54.0
Pruned 20 % (L1 unstructured),34.66,6.43,77.07,14.18,0.03,10.884,50.0,54.0
Pruned 40 % (L1 unstructured),37.65,6.43,77.02,14.19,0.02,22.471,26.0,26.0
1B Instruct (no distill),15.72,2.47,173.66,6.48,0.01,11.724,46.0,28.0
1B Instruct (distilled),15.59,2.47,174.1,6.49,0.02,12.103,24.0,27.0
